epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,92.00339558573853,38.50985410769917,0,0,0.8545617491923508,93.4501025290499,37.271280444740796,0,0,0.8637752334279512
1,93.25834748160723,41.09556763539102,0,0,0.8816152282516415,95.59808612440192,39.32719265636621,0,0,0.8798198876433957
2,93.24702886247879,41.89346123874596,0,0,0.9005458354155572,96.45192526771474,41.20720574191518,0,0,0.9034583484723645
3,93.56253537068477,42.288246976448185,0,0,0.8943984844518335,95.87947140578719,40.565895434110914,0,0,0.9004506748326382
4,94.00537634408602,45.167694524464686,0,0,0.9017059071775607,95.74333561175666,41.39293055637637,0,0,0.9033475467138098
5,93.5342388228636,43.33082993317094,0,0,0.9049775549488646,96.49920255183413,41.53425846850183,0,0,0.9108761466554611
6,93.41822297679684,43.994397718315604,0,0,0.9048165291316759,95.88004101161995,41.80727249919894,0,0,0.9163026222074098
7,93.90350877192982,43.53290880716605,0,0,0.905467840264523,96.33173843700158,42.14072602520471,0,0,0.9092493923712871
8,93.62195812110923,45.59944253590325,0,0,0.9074283017598638,96.47186147186147,42.86093295619271,0,0,0.9195446879662728
9,93.69269949066214,46.463879465424554,0,0,0.9039745846637406,96.46160856687172,42.044253762979395,0,0,0.9121349653156913
10,94.29683078664405,45.08931898973799,0,0,0.909386666433111,96.13636363636363,42.16512235034882,0,0,0.9182929184402271
11,94.02235427277874,44.469608366981845,0,0,0.9036561417666913,96.23661426293003,42.229330983711044,0,0,0.9174469072688076
12,94.32229767968307,45.295270419861545,0,0,0.9142007007426146,95.78434723171564,41.5695602212002,0,0,0.9159039911071712
13,94.74816072439162,46.571557103828546,0,0,0.9163403499915963,96.14262930052405,43.60632170403887,0,0,0.9211621564032809
14,93.64883984153933,45.41800302879154,0,0,0.894847203432511,96.50091136933244,42.38427168038695,0,0,0.9114634877674755
15,93.91199773627618,45.58714994080673,0,0,0.9120789975162125,96.62508544087491,43.12786794861544,0,0,0.9214728236851139
16,93.99122807017544,46.36117370052031,0,0,0.9130896604786107,96.38642059694693,42.77881673807071,0,0,0.9182698547149832
17,94.07894736842107,47.36478943269419,0,0,0.9134908235338273,96.46445659603553,44.10723874033747,0,0,0.9185261892817767
18,95.46689303904922,45.79983789073894,0,0,0.9243247404754441,96.81818181818183,43.60200682157122,0,0,0.9263143738520903
19,95.70316921335598,45.86958260665089,0,0,0.9170816665838822,96.07541581225792,42.868945828158324,0,0,0.9196638366142319
20,94.51046972269383,46.78716033955898,0,0,0.9184677220936062,96.41888812941447,43.04574912792242,0,0,0.9194290103357873
21,94.98302207130729,46.60731309908657,0,0,0.9229673232391636,96.07142857142858,43.83275926086826,0,0,0.922244429336378
22,95.55602716468593,46.35141289591904,0,0,0.9281814690306285,96.20414673046251,43.456827866268256,0,0,0.9223319124465754
23,94.97170345217886,44.223828273828396,0,0,0.9264341448822088,96.61597174755069,41.779757000648445,0,0,0.9210934191363789
24,95.52773061686476,46.61817511048955,0,0,0.9295102731432915,96.40236956026429,43.21542798903857,0,0,0.9243844488415554
25,93.7040181097906,43.67525443533746,0,0,0.911754914470282,95.92390066074276,42.58100047952412,0,0,0.9194515880223013
26,93.88228636106393,44.8772481756216,0,0,0.9022062834184839,95.80371383002961,42.234438140315746,0,0,0.9111930503712665
27,93.27108092812676,44.31869345603227,0,0,0.9099454691803824,96.37104123946229,43.07056197457398,0,0,0.9156750492025103
28,94.95614035087719,45.85491983695122,0,0,0.9236399365085115,96.70027341079971,44.45598650079672,0,0,0.9283202705799349
29,94.56706281833617,44.0765402535272,0,0,0.9132137868235671,96.33059922533607,41.9261876954797,0,0,0.923236277568819
30,95.18392756083757,47.475178333208554,0,0,0.9290854466616085,96.69856459330144,42.93962550689902,0,0,0.9210485000264744
