epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,87.51570160865512,33.71045422233938,0,0,0.7385096849049156,82.32864568642462,32.007871579903586,0,0,0.7131255136482839
1,87.65954860407633,35.19435030356004,0,0,0.7535374593537673,85.85445460772857,32.01818354466623,0,0,0.7289675783595272
2,86.66882774828802,36.7430223556411,0,0,0.7667657083107136,84.98609823911029,33.77167929135824,0,0,0.7419241307540804
3,88.19846833340088,37.11639695433364,0,0,0.7672042969754636,86.9605512350405,33.68244319167048,0,0,0.7453128265239062
4,87.38806272539406,38.29401702897125,0,0,0.772889378382773,89.7207559334327,34.60341639116258,0,0,0.7557367528284725
5,88.12147980064023,37.69328029651819,0,0,0.7779520669585949,88.91082725551034,34.42416076995758,0,0,0.7534147857857244
6,87.22192957575265,38.41772896520389,0,0,0.7680656718457197,84.39779183624128,34.436192725180824,0,0,0.7556974787673458
7,88.47400624012319,39.14555122588002,0,0,0.775735806019242,85.72954023451665,34.95832116130005,0,0,0.7582584884996695
8,88.15592203898052,38.64792595119148,0,0,0.7778585210231593,84.40585082806142,34.78836250442854,0,0,0.7578300046814381
9,88.6421654037846,39.21276582893307,0,0,0.7820571814879118,85.63686182858524,35.247953657141316,0,0,0.7616846551658045
10,88.13363588476032,39.57012092093184,0,0,0.7780023430228674,89.2613933996857,35.2222029087062,0,0,0.7614342582527717
11,88.24911868390129,39.69843886069653,0,0,0.7897678393410047,84.61739936333964,35.92940363611062,0,0,0.7797734838142112
12,88.31192511852181,39.325243017097954,0,0,0.7825534818906866,89.57569408067052,35.33137564919279,0,0,0.7743087851922196
13,88.51655253454354,39.90173889989641,0,0,0.7869395628761361,85.75170246202201,36.5978137343084,0,0,0.7766475918341054
14,88.29166497832166,37.67479755402939,0,0,0.7844859147158012,89.00954990530686,35.29008322206852,0,0,0.7618228100964717
15,88.3909396653025,39.94226656238779,0,0,0.7885916294343734,87.89136479026475,36.207640839693404,0,0,0.7715557720047483
16,88.31192511852183,39.62392896822263,0,0,0.7856790422124255,85.49784421968812,36.02880220883673,0,0,0.7690397889977755
17,88.87313100206654,39.80669135791944,0,0,0.7873485212547652,88.59249707861545,36.12588929242553,0,0,0.7709235122062494
18,88.8690789740265,39.02646638580257,0,0,0.7874288296301252,85.358826610791,36.368588217969396,0,0,0.7707550714216194
19,88.72725799262533,39.73471824433536,0,0,0.7897226401595244,87.18015876213884,36.042316303925034,0,0,0.780107641958837
20,88.61177519348435,39.54914555226668,0,0,0.7880047928408522,85.3386791312407,35.59163187174537,0,0,0.765585504021568
21,88.5469427448438,40.12237935166811,0,0,0.7871572733433743,87.73421444977234,35.76256571484134,0,0,0.7668224041356362
22,88.05462133797967,38.728267309515026,0,0,0.7879111907606697,84.18422855300803,36.85588534393634,0,0,0.7754916699408484
23,87.89456623039833,38.00592453942545,0,0,0.784091173691657,84.29705443848975,35.32816182276805,0,0,0.7674789568104662
24,87.96547672109891,38.601624016043026,0,0,0.7918035369825347,87.42595801265261,36.90088126993327,0,0,0.7744068828894705
25,88.80019449734591,40.33024800136668,0,0,0.7890931430811637,83.45891928919691,36.45738389368752,0,0,0.7802137085359402
26,88.49629239434334,38.796411468672076,0,0,0.7894275321824528,85.45956400854251,36.45206568259085,0,0,0.7766429502856048
27,88.45982414198306,38.69987015067829,0,0,0.7883678998902208,83.63017286537455,35.942569231341416,0,0,0.770189044285207
28,88.74346610478545,40.40769010794844,0,0,0.7945909542732769,85.62477334085506,36.58283939667772,0,0,0.7697152473770268
29,89.1324607966287,39.89636997310968,0,0,0.7925522026638284,85.73558447838175,36.74094920300997,0,0,0.7820967433353087
30,88.73333603468537,37.977171303318144,0,0,0.790641501495793,82.86456864246283,36.380195724165695,0,0,0.7784769452649912
31,88.5590988289639,38.69084266589253,0,0,0.7766019627581013,87.04315590119677,36.03517721486223,0,0,0.7673795930501797
32,88.39701770736254,38.83701803738667,0,0,0.7888480641854632,84.28899544666962,36.44134805322718,0,0,0.7739355443300467
33,88.33421127274201,38.45224408797251,0,0,0.7926584153271393,86.1889027682637,36.769241782432935,0,0,0.7814306207479976
34,89.18716317516918,37.82385238196133,0,0,0.7879600102458089,82.98142402385463,36.90049987911184,0,0,0.7678249732175475
35,88.75967421694558,38.38802196422919,0,0,0.7866612772157484,87.3534270862715,36.09288501265305,0,0,0.7758296837648743
36,88.27545686616149,38.07667485776668,0,0,0.7899625672010018,81.01301527178948,36.51297974330614,0,0,0.7728260880345629
37,88.38891365128248,38.57855963572915,0,0,0.7920188673456126,86.56566063585447,36.34578010433805,0,0,0.7876009093014508
38,88.57935896916408,38.28417240455843,0,0,0.7883353545898679,85.358826610791,36.56277780444302,0,0,0.7622050082719964
39,88.91972932452695,38.78855305653559,0,0,0.7940964915253339,83.53547971148808,36.93223898144014,0,0,0.7738020148125117
40,88.61582722152438,38.962734743301596,0,0,0.7913899922425366,87.21239472941934,36.749919877664965,0,0,0.77121224498161
41,88.39701770736255,38.964964314577486,0,0,0.7894342674521561,84.78059394769714,36.60836203848442,0,0,0.7776660118430706
42,87.83783783783784,39.332912034197186,0,0,0.789753996612548,83.78933795382197,36.82317498962927,0,0,0.7727555755064881
43,88.22278050164108,39.57768503946553,0,0,0.7942699809539941,82.74368376516098,37.527450771411814,0,0,0.7825746445270579
44,88.45982414198306,39.52713387475649,0,0,0.7908567273152163,84.82290365475278,36.91579534001952,0,0,0.7757073267399877
45,88.48211029620326,38.3551089594568,0,0,0.7921120648911534,86.85376959342386,36.46868890829177,0,0,0.7822951942511157
46,88.28558693626161,38.223089676037404,0,0,0.7861183222880895,84.2547447314341,37.10669113349561,0,0,0.7757356803024157
47,88.1417399408404,38.528515803129416,0,0,0.7905090714796777,83.99484224523512,36.91768915714396,0,0,0.7831598340053357
48,89.01697799748774,39.23247965087495,0,0,0.7867475972405285,86.06801789096184,37.41842163261243,0,0,0.769452255641589
49,87.71019895457677,38.908678503822074,0,0,0.7889039912563551,82.9471733086191,36.20686101842407,0,0,0.7799602775728552
50,88.91365128246689,38.75336817816892,0,0,0.7927799055532665,84.81484466293269,37.654572340008805,0,0,0.7724984871534819
51,88.96227561894727,39.407708267136925,0,0,0.7878337142101854,85.751702462022,37.23686460897653,0,0,0.7707278739411
52,87.9046963004984,38.732936990969,0,0,0.7943570048648548,84.62747310311481,36.81188716615193,0,0,0.7795668891622911
53,88.14579196888042,38.92159872499482,0,0,0.7907681635526359,87.059273884837,37.26521396941302,0,0,0.7717785764956168
54,87.79326552939746,38.02786516951954,0,0,0.7956402643995374,83.74904299472136,37.3531492287411,0,0,0.7712878638843221
55,88.35852344098221,38.44904332453331,0,0,0.7895250464020244,83.7188217753959,36.28813362150559,0,0,0.7799260014853074
56,87.95534665099882,37.84869932075774,0,0,0.7900165276448802,84.38368860055608,36.860340328703025,0,0,0.7683854768503228
57,88.42132987560275,38.9831090129885,0,0,0.7936973779261909,81.40186162711043,36.69493383987091,0,0,0.7767125465660485
58,88.24101462782122,39.120638037457695,0,0,0.7937040408710906,82.7718902365314,37.35556111554055,0,0,0.7824453350165237
59,88.08501154827991,38.86159577652621,0,0,0.7937606239750225,80.34613369867431,36.19314142967493,0,0,0.7806936447389756
60,88.91770331050691,39.25643740696362,0,0,0.793352632892088,84.63150259902487,37.18271981202895,0,0,0.7758239258500589
61,88.67052960006484,40.426612601477764,0,0,0.7932019730040326,84.74029898859652,36.684250719826984,0,0,0.7734342210652182
62,88.50034442238339,40.42164065806174,0,0,0.7959547070098602,84.42599830761172,36.924949099242305,0,0,0.7738619022803632
63,88.9156772964869,39.60948115028023,0,0,0.798594581741937,87.10762783575775,38.3734323762422,0,0,0.7690949394816996
64,88.79411645528589,38.728035331933164,0,0,0.7894007109781418,85.64693556836039,36.746114347751714,0,0,0.7766519741270611
65,88.27748288018152,38.94447868311703,0,0,0.7993228435085346,82.43341258008623,36.9606566632308,0,0,0.781392926334007
66,88.62798330564446,38.90142693908161,0,0,0.7891029049494136,84.9155820606842,37.22134127783539,0,0,0.7669946540529508
67,88.36865351108231,38.32650257793916,0,0,0.793385517510065,83.80747068541726,37.34494974854966,0,0,0.7790282116326022
68,88.33826330078203,37.62268361838667,0,0,0.7852816877612191,83.88201635975342,36.28303277256273,0,0,0.775646498173357
69,88.19846833340085,38.634702344072615,0,0,0.7961182714581104,85.19764677438853,36.356966224307136,0,0,0.7801062047822644
70,88.54694274484379,38.814511804147806,0,0,0.7912458918678635,82.02844824112505,36.4564421105485,0,0,0.7777768812773183
71,88.52668260464363,38.33479096273414,0,0,0.7953413927248437,83.7651609783616,36.93043891131998,0,0,0.7861416872605058
72,88.83058470764618,38.55787998380736,0,0,0.7921655981211085,88.57436434702018,36.93171684364695,0,0,0.7814287305087625
73,88.83058470764617,39.201731141381565,0,0,0.796962014531311,88.22581295079985,36.559472954606015,0,0,0.7871055632672745
74,88.26330078204141,39.02196323434679,0,0,0.8009405002972344,86.23524197122939,37.330992123152754,0,0,0.7860975454594995
75,88.81235058146602,38.63947367518758,0,0,0.7937533989550777,84.6476205826651,37.361155065557966,0,0,0.783687411312787
76,88.69889379634509,38.99671194638527,0,0,0.7984933464287515,83.15670709594231,37.8823549176946,0,0,0.7744502146893457
77,88.30584707646179,38.174393848033425,0,0,0.793779455453178,89.738888665028,37.596387590132125,0,0,0.7686270813670966
78,91.9405162283723,38.45729524807063,0,0,0.7992473222370119,86.47499697787808,37.369165667480104,0,0,0.7790129191618047
79,88.33015924470197,38.836426049231086,0,0,0.7952842650143562,86.06801789096184,37.00447576185043,0,0,0.7797532677112529
80,87.85201993597796,38.97816348045986,0,0,0.7935243405716362,89.07603658782287,37.91378251635295,0,0,0.778483132810714
81,88.42538190364279,38.068197119165085,0,0,0.7916595874773229,82.00225651770963,37.78109552139106,0,0,0.776311232178986
82,88.57530694112403,38.58048352158134,0,0,0.7918679170716423,84.33130515372527,37.17418418877957,0,0,0.7758588729852268
83,87.85404594999797,38.379542942430696,0,0,0.7894044086935044,83.5213764758029,37.19250910778676,0,0,0.7773191836845378
84,88.3200291746019,38.624704804449095,0,0,0.7924929752600619,89.1626707498892,36.93501741180988,0,0,0.7803882064784464
85,87.93103448275862,38.74526735479683,0,0,0.793230785601747,85.27823669258976,37.397499169356735,0,0,0.7773279458776833
86,88.40106973540256,38.370571806410865,0,0,0.7882531220075913,90.36749002699761,38.2482153680515,0,0,0.7774161631742667
87,88.22075448762105,38.171188489060555,0,0,0.7943124817500428,84.72418100495628,37.24136887759726,0,0,0.777246562549008
88,88.2977430203817,38.6052945490997,0,0,0.795992190207515,89.31579159447153,37.023937528293956,0,0,0.7842864386710976
89,88.33218525872199,38.174901366979825,0,0,0.7906534683691391,88.59048233066044,37.41181958363433,0,0,0.7647655093956188
90,88.43145994570284,38.5661092910929,0,0,0.7961576434608979,83.61204013377926,36.711250422937006,0,0,0.7789062330219876
91,88.46995421208315,38.21038931928902,0,0,0.7909310409991935,87.59116734496516,37.46171044371342,0,0,0.7766148061078408
92,88.39093966530248,38.67303127259271,0,0,0.8013097995238561,87.16605552645363,37.365040971285914,0,0,0.7754136697174796
93,88.58543701122412,38.44571375775392,0,0,0.7976226494267449,87.88330579844461,37.46277173739148,0,0,0.7824231134089681
94,87.87835811823817,38.4807861220613,0,0,0.7926446071506037,86.52738042470887,36.92296094839154,0,0,0.7825418886888554
95,88.96835366100733,38.49282755845898,0,0,0.7923745948817822,88.87657654027481,37.34553266994779,0,0,0.7879967630809301
96,88.29166497832165,38.348885950352894,0,0,0.7881491139606162,83.7772494660918,37.79163937790178,0,0,0.7880899353495303
97,88.85894890392642,37.71446247848994,0,0,0.7919169708148036,85.3668856026111,37.59063036104362,0,0,0.7785891795516658
98,88.52870861866364,38.654062885330525,0,0,0.80078151578791,88.2096949671596,36.2577691701856,0,0,0.7926139290409419
99,88.08906357631994,38.26775536106744,0,0,0.7934623631676666,86.20502075190394,37.42537077167377,0,0,0.7845121993241473
