epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,74.25667387113735,22.91562357276686,0,0,0.6530480245566737,70.07775119617224,21.812251510632887,0,0,0.6485986754334527
1,76.32455166773761,25.21453614811868,0,0,0.673304162830824,78.35526315789475,24.384008524109326,0,0,0.6737500804649679
2,77.94847829896607,26.457691161372882,0,0,0.6764870628915778,79.16267942583733,25.83429787034412,0,0,0.6796479856985859
3,83.68479467258601,27.031598233182237,0,0,0.6927682291301935,80.43062200956939,26.27003931168619,0,0,0.6948444334683764
4,83.25836789532099,27.539951985064327,0,0,0.6916365885263139,82.67942583732058,27.14656178638006,0,0,0.6946197746626174
5,81.87978269758747,28.131858985777715,0,0,0.7049163607011688,82.2787081339713,27.92101823239158,0,0,0.702318034507073
6,81.891465622992,28.44654366789418,0,0,0.7098967737707014,82.2846889952153,28.599622806883627,0,0,0.7100475615230067
7,82.35878263917284,28.65184118678412,0,0,0.7118560138618337,83.42703349282297,28.358265558063252,0,0,0.7135865169740393
8,81.76295344354226,28.50278659708407,0,0,0.7138381095729089,83.14593301435407,28.90287437285983,0,0,0.7106852355639114
9,81.90314854839653,28.39193812439944,0,0,0.7228895053099568,82.39832535885168,28.889691052026766,0,0,0.7119317362608191
10,83.17658741748933,28.681173014316194,0,0,0.7118588463467311,82.90071770334929,28.884192117131317,0,0,0.7151988496171547
11,83.50370932881593,29.126039913350848,0,0,0.7189267767270028,83.1519138755981,28.844640752800885,0,0,0.7150463554169463
12,80.26753899176353,28.911899499874888,0,0,0.7204814957978691,82.38636363636363,28.847481101489517,0,0,0.7144717785358948
13,83.30509959693909,29.08476912270049,0,0,0.7232317765096873,85.10167464114834,29.400650092150737,0,0,0.7168745278641884
14,82.37630702727964,28.967437174534666,0,0,0.726630890402636,85.00598086124401,29.514640647912266,0,0,0.7223159513477949
15,84.06448974823296,29.09942756531106,0,0,0.7207998897498152,82.40430622009569,29.331410573977223,0,0,0.7146849822075391
16,83.3751971493662,29.053326997408877,0,0,0.7229291352767782,82.75717703349284,29.307244274568042,0,0,0.7152396243805018
17,83.65558735907473,29.100219290564162,0,0,0.72277806779236,85.11961722488039,29.368868814308684,0,0,0.719262862778122
18,83.39856300017523,29.131559777713242,0,0,0.7222284613562694,85.22129186602871,29.76609631036629,0,0,0.7177865389726761
19,83.60885565745663,29.457790605868535,0,0,0.7236847227888721,86.04066985645935,29.61536635167459,0,0,0.7219778295027612
20,83.10064840235995,29.07044325510491,0,0,0.722099092306836,84.57535885167464,29.559095829247866,0,0,0.7227126018475749
21,83.7315263742041,28.924826258439513,0,0,0.714837387065527,85.41267942583731,29.886645948904505,0,0,0.7206988054588511
22,84.12290437525557,28.983133503372347,0,0,0.7233210693047484,85.23923444976076,29.97702079815221,0,0,0.7188906707706579
23,84.98744085519013,29.263797715425646,0,0,0.7259871208964203,84.18660287081339,30.26827203720553,0,0,0.7240550984988715
24,83.21163619370292,29.75229104869852,0,0,0.7243178224729281,85.00598086124401,29.851630420750624,0,0,0.7234438401912504
25,83.74905076231089,29.24571313114205,0,0,0.7247692073861981,85.5322966507177,29.726875966638808,0,0,0.7227771688589776
26,83.19995326829837,29.10392165304704,0,0,0.7258824857288844,85.86124401913875,29.731487814118463,0,0,0.7221740925995718
